right_elbow,left_elbow,right_shoulder,left_shoulder,right_hip,left_hip,right_knee,left_knee,right_ankle,left_ankle
46,54,10,11,172,175,178,178,162,158
74,66,9,11,172,175,178,179,167,163
100,86,7,9,171,175,178,178,162,163
145,134,10,11,170,175,179,178,162,157
160,142,11,9,170,177,180,178,163,163
165,150,10,9,170,175,180,179,163,163
167,156,10,9,171,175,180,179,163,163
167,162,10,8,171,176,178,178,163,163
169,165,9,8,171,177,180,177,164,162
169,164,10,7,172,177,178,177,162,162
168,167,9,8,173,177,178,177,157,168
168,168,9,8,172,177,179,177,162,168
169,167,9,7,173,177,178,177,162,163
168,167,9,7,172,178,179,176,162,163
170,168,9,7,174,177,177,177,162,163
170,168,8,7,175,177,176,178,162,163
168,167,7,7,175,176,176,179,162,163
169,169,8,7,177,177,175,178,162,163
170,171,8,7,176,176,175,179,162,163
169,171,8,7,177,176,176,179,162,163
169,172,7,7,177,176,176,179,162,161
169,171,8,7,176,178,177,178,162,161
170,172,7,8,177,176,176,179,161,161
169,172,7,8,177,174,177,180,169,161
170,172,8,8,176,176,177,179,167,164
169,172,7,8,176,174,175,179,160,156
170,171,7,8,176,174,176,179,161,156
171,171,7,8,175,174,178,179,168,161
171,172,8,7,174,175,179,179,167,161
171,172,7,7,175,174,176,180,161,161
171,173,7,7,175,174,177,179,161,161
171,173,7,7,175,174,177,179,161,161
171,172,7,7,175,174,177,179,167,164
171,173,7,7,175,175,177,180,166,161
171,173,7,7,174,175,178,180,167,163
171,172,7,7,174,175,178,180,168,163
171,172,7,7,174,175,177,180,167,161
170,172,7,7,174,176,178,179,167,161
170,172,7,7,174,177,178,178,168,163
170,173,7,7,174,177,178,178,167,161
170,173,7,7,174,177,177,178,167,161
169,172,6,7,174,177,178,178,167,161
172,170,7,7,174,176,178,178,167,161
171,171,7,7,174,176,178,178,167,161
170,171,7,7,175,177,177,178,161,161
169,169,7,6,176,177,177,177,166,157
167,169,6,6,176,176,176,178,159,158
167,168,7,6,176,176,176,177,159,160
166,168,7,6,174,177,178,176,161,160
168,167,9,6,173,178,178,176,156,160
166,166,8,7,173,177,180,176,169,167
166,167,9,7,173,178,180,174,165,159
162,166,8,8,172,176,180,177,168,162
153,165,8,9,172,176,179,177,162,162
151,161,8,8,172,176,179,177,167,160
148,154,10,8,169,176,180,177,167,157
134,150,10,8,170,176,180,177,167,157
110,121,11,11,171,176,180,177,167,160
79,66,10,9,172,174,178,178,167,155
51,51,12,13,173,174,177,178,161,155
31,33,11,10,172,176,179,178,167,161
16,23,11,9,173,176,177,177,162,162
10,20,11,11,172,178,179,176,162,154
9,18,11,10,172,178,179,176,162,159
6,13,11,8,170,178,180,175,168,161
6,9,11,8,171,178,179,175,163,159
5,7,10,8,172,177,178,176,167,162
8,7,11,9,172,177,178,178,167,163
8,7,11,10,172,178,178,176,163,159
6,6,11,10,172,178,178,178,162,160
5,6,10,11,172,177,178,178,163,165
4,8,10,12,173,178,178,177,162,159
4,6,10,11,172,178,178,177,162,159
2,7,9,11,172,178,178,178,162,163
1,6,9,11,172,177,178,177,162,157
2,6,10,11,173,177,178,177,167,162
3,7,11,12,173,177,178,177,167,157
3,5,10,11,173,177,179,178,168,158
3,5,10,11,173,177,178,178,162,158
3,5,10,11,172,178,179,177,163,157
3,6,10,11,172,177,179,178,163,158
3,5,10,11,172,177,179,177,163,157
2,5,9,11,173,177,178,177,163,157
0,6,9,11,172,176,178,179,167,158
2,7,10,11,172,177,179,177,162,157
3,7,10,11,173,177,178,177,162,157
4,10,10,11,173,177,178,177,162,157
3,13,11,11,172,177,180,177,168,162
4,12,12,10,172,176,178,178,162,158
4,9,11,9,172,175,179,177,162,157
4,15,11,8,173,177,178,177,168,162
6,16,11,9,173,176,180,178,169,164
0,18,9,8,172,177,179,177,167,164
1,25,9,9,172,176,179,179,163,163
10,27,10,10,173,176,180,178,164,162
3,39,11,12,172,175,180,178,169,162
48,66,10,16,173,175,179,178,164,162
56,74,9,16,173,174,180,178,169,157
69,75,9,12,173,175,178,177,163,157
91,158,8,12,174,175,178,178,163,162
112,171,9,12,173,176,178,177,163,162
137,165,10,9,172,177,179,177,162,162
156,165,10,9,170,176,180,178,162,161
161,162,9,7,171,176,180,177,163,162
159,166,8,8,172,177,179,177,162,162
157,167,8,7,171,177,179,177,168,162
161,168,8,8,172,177,178,177,163,169
164,167,8,7,172,177,179,177,164,163
161,168,6,7,173,179,179,175,164,167
164,169,7,7,173,178,178,177,162,163
164,169,7,7,173,178,177,177,161,163
166,168,7,7,173,178,177,177,156,163
165,171,7,7,173,178,177,177,154,163
168,168,7,6,175,177,175,178,159,161
168,171,7,7,175,176,175,179,161,162
166,170,6,6,175,177,176,178,162,161
167,171,6,6,175,177,176,178,162,161
167,172,6,7,175,178,177,177,163,163
168,173,6,7,175,177,177,177,157,161
169,173,7,7,174,176,178,179,163,161
168,173,6,7,174,176,178,179,169,163
168,173,6,7,173,176,179,178,169,156
169,173,6,8,173,175,179,179,168,163
170,174,6,8,173,175,178,179,163,161
171,174,6,8,172,175,179,179,163,163
171,175,6,7,173,176,178,179,167,164
171,175,6,7,175,175,176,180,166,164
171,175,6,7,174,175,177,179,167,156
172,174,7,7,174,176,177,178,167,158
172,172,7,6,173,177,178,177,167,158
170,173,7,7,174,177,177,177,167,158
169,172,7,7,174,175,176,179,166,156
169,173,7,8,173,176,178,179,167,163
